id,target
0,3
1,16
2,11
3,8
4,13
5,11
6,16
7,13
8,2
9,2
10,0
11,2
12,18
13,10
14,12
15,7
16,16
17,1
18,11
19,6
20,7
21,16
22,13
23,1
24,1
25,13
26,0
27,13
28,9
29,9
30,17
31,19
32,11
33,15
34,17
35,7
36,17
37,6
38,12
39,2
40,2
41,9
42,6
43,13
44,3
45,16
46,17
47,2
48,1
49,1
50,11
51,17
52,0
53,8
54,2
55,2
56,15
57,10
58,1
59,10
60,12
61,3
62,2
63,0
64,14
65,16
66,12
67,17
68,6
69,19
70,7
71,10
72,18
73,17
74,13
75,3
76,16
77,17
78,1
79,13
80,5
81,1
82,10
83,1
84,9
85,15
86,16
87,11
88,12
89,11
90,16
91,11
92,8
93,6
94,8
95,4
96,3
97,3
98,16
99,0
100,4
101,6
102,6
103,10
104,5
105,3
106,16
107,16
108,4
109,1
110,3
111,16
112,2
113,1
114,4
115,11
116,18
117,5
118,8
119,8
120,7
121,12
122,1
123,2
124,0
125,18
126,19
127,12
128,6
129,2
130,13
131,8
132,13
133,2
134,2
135,5
136,12
137,13
138,2
139,12
140,7
141,19
142,19
143,16
144,16
145,0
146,16
147,8
148,18
149,0
150,10
151,16
152,11
153,6
154,8
155,8
156,10
157,11
158,5
159,11
160,18
161,16
162,14
163,3
164,1
165,17
166,0
167,15
168,10
169,2
170,17
171,14
172,11
173,3
174,13
175,14
176,11
177,17
178,12
179,18
180,4
181,13
182,6
183,2
184,8
185,16
186,16
187,4
188,1
189,2
190,1
191,16
192,10
193,0
194,1
195,1
196,6
197,16
198,7
199,6
200,1
201,16
202,6
203,13
204,12
205,6
206,17
207,4
208,8
209,12
210,5
211,0
212,13
213,16
214,17
215,12
216,16
217,13
218,16
219,5
220,3
221,1
222,2
223,2
224,6
225,6
226,15
227,17
228,2
229,10
230,1
231,19
232,16
233,17
234,13
235,1
236,11
237,13
238,16
239,0
240,16
241,7
242,5
243,10
244,8
245,17
246,1
247,6
248,8
249,8
250,8
251,18
252,12
253,7
254,15
255,2
256,1
257,4
258,7
259,10
260,0
261,17
262,17
263,18
264,0
265,2
266,16
267,19
268,3
269,0
270,2
271,11
272,16
273,1
274,6
275,2
276,1
277,18
278,16
279,1
280,13
281,4
282,19
283,2
284,10
285,17
286,16
287,1
288,19
289,1
290,6
291,12
292,8
293,3
294,10
295,17
296,17
297,8
298,9
299,15
300,18
301,12
302,5
303,6
304,0
305,16
306,10
307,2
308,1
309,18
310,2
311,19
312,13
313,13
314,3
315,2
316,13
317,1
318,14
319,0
320,16
321,8
322,10
323,18
324,12
325,19
326,5
327,1
328,5
329,4
330,10
331,1
332,14
333,1
334,5
335,18
336,6
337,8
338,4
339,2
340,9
341,18
342,19
343,14
344,11
345,2
346,19
347,18
348,7
349,13
350,1
351,15
352,1
353,15
354,5
355,1
356,8
357,16
358,17
359,2
360,1
361,1
362,1
363,15
364,14
365,1
366,7
367,14
368,13
369,15
370,10
371,1
372,6
373,17
374,17
375,8
376,10
377,17
378,5
379,1
380,4
381,2
382,13
383,2
384,3
385,8
386,2
387,2
388,17
389,2
390,0
391,8
392,12
393,8
394,19
395,11
396,2
397,7
398,10
399,0
400,2
401,2
402,1
403,8
404,10
405,17
406,11
407,2
408,10
409,18
410,14
411,14
412,6
413,2
414,12
415,1
416,2
417,2
418,17
419,1
420,10
421,15
422,11
423,0
424,19
425,7
426,7
427,8
428,9
429,13
430,2
431,2
432,1
433,2
434,1
435,8
436,9
437,9
438,1
439,15
440,7
441,17
442,11
443,4
444,1
445,19
446,15
447,2
448,11
449,9
450,15
451,11
452,5
453,15
454,11
455,2
456,17
457,4
458,18
459,14
460,0
461,8
462,2
463,1
464,6
465,16
466,9
467,12
468,17
469,7
470,4
471,4
472,17
473,10
474,17
475,11
476,1
477,14
478,12
479,2
480,12
481,4
482,9
483,11
484,0
485,6
486,16
487,19
488,9
489,8
490,10
491,17
492,10
493,8
494,16
495,0
496,2
497,16
498,0
499,14
500,16
501,2
502,1
503,2
504,1
505,0
506,13
507,17
508,2
509,1
510,8
511,18
512,7
513,9
514,1
515,13
516,6
517,2
518,17
519,0
520,1
521,13
522,4
523,16
524,1
525,2
526,5
527,15
528,15
529,9
530,1
531,5
532,13
533,4
534,19
535,5
536,5
537,1
538,1
539,4
540,12
541,16
542,3
543,6
544,5
545,7
546,19
547,16
548,19
549,19
550,11
551,11
552,0
553,13
554,2
555,12
556,19
557,7
558,16
559,14
560,19
561,15
562,11
563,0
564,16
565,1
566,9
567,10
568,8
569,11
570,17
571,10
572,4
573,6
574,16
575,11
576,8
577,1
578,6
579,16
580,18
581,1
582,7
583,11
584,16
585,1
586,11
587,4
588,16
589,9
590,19
591,10
592,1
593,5
594,9
595,11
596,7
597,18
598,1
599,6
600,16
601,0
602,2
603,2
604,2
605,11
606,2
607,4
608,4
609,5
610,5
611,7
612,17
613,18
614,14
615,7
616,11
617,16
618,11
619,5
620,16
621,1
622,12
623,13
624,11
625,7
626,18
627,10
628,2
629,8
630,14
631,12
632,5
633,2
634,8
635,12
636,0
637,16
638,2
639,11
640,7
641,14
642,16
643,2
644,1
645,8
646,10
647,9
648,8
649,1
650,3
651,17
652,1
653,5
654,10
655,2
656,12
657,8
658,2
659,5
660,13
661,4
662,9
663,9
664,17
665,4
666,16
667,11
668,10
669,1
670,17
671,6
672,0
673,19
674,17
675,8
676,11
677,19
678,9
679,10
680,2
681,1
682,2
683,14
684,16
685,8
686,18
687,17
688,0
689,9
690,5
691,6
692,13
693,0
694,9
695,13
696,16
697,9
698,1
699,1
700,19
701,6
702,13
703,8
704,18
705,16
706,16
707,10
708,9
709,12
710,6
711,4
712,11
713,3
714,16
715,7
716,5
717,9
718,7
719,12
720,0
721,6
722,0
723,12
