id,target
0,7
1,7
2,7
3,7
4,13
5,7
6,7
7,13
8,7
9,7
10,7
11,9
12,13
13,13
14,13
15,7
16,7
17,7
18,13
19,7
20,7
21,9
22,7
23,7
24,7
25,13
26,13
27,13
28,7
29,7
30,7
31,7
32,13
33,13
34,7
35,7
36,7
37,7
38,13
39,7
40,13
41,13
42,6
43,13
44,3
45,13
46,7
47,7
48,7
49,7
50,13
51,7
52,7
53,13
54,7
55,7
56,13
57,7
58,7
59,7
60,7
61,7
62,13
63,7
64,7
65,7
66,13
67,17
68,13
69,13
70,7
71,7
72,7
73,7
74,13
75,7
76,7
77,13
78,13
79,13
80,7
81,7
82,7
83,13
84,13
85,7
86,7
87,7
88,7
89,13
90,7
91,11
92,8
93,7
94,7
95,7
96,3
97,13
98,7
99,7
100,7
101,7
102,7
103,10
104,5
105,13
106,7
107,9
108,13
109,13
110,7
111,13
112,7
113,7
114,7
115,13
116,13
117,5
118,13
119,8
120,7
121,7
122,7
123,13
124,7
125,13
126,7
127,7
128,7
129,13
130,13
131,8
132,13
133,13
134,7
135,7
136,7
137,13
138,7
139,13
140,7
141,13
142,7
143,13
144,7
145,7
146,7
147,7
148,13
149,7
150,7
151,7
152,13
153,7
154,8
155,7
156,7
157,13
158,5
159,13
160,13
161,13
162,7
163,3
164,7
165,7
166,13
167,13
168,10
169,7
170,7
171,7
172,13
173,7
174,13
175,7
176,13
177,7
178,7
179,7
180,7
181,13
182,7
183,7
184,7
185,7
186,7
187,13
188,7
189,7
190,13
191,13
192,13
193,13
194,7
195,13
196,7
197,13
198,7
199,13
200,7
201,7
202,6
203,7
204,7
205,4
206,7
207,7
208,13
209,7
210,5
211,13
212,7
213,13
214,7
215,13
216,7
217,13
218,7
219,13
220,7
221,7
222,7
223,7
224,13
225,7
226,13
227,7
228,7
229,13
230,7
231,7
232,7
233,7
234,13
235,13
236,11
237,13
238,13
239,13
240,7
241,7
242,7
243,10
244,13
245,7
246,13
247,3
248,7
249,13
250,7
251,7
252,13
253,7
254,13
255,7
256,7
257,13
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,13
266,7
267,13
268,7
269,7
270,7
271,13
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,13
280,13
281,13
282,7
283,7
284,10
285,7
286,7
287,13
288,7
289,7
290,7
291,7
292,7
293,13
294,7
295,11
296,7
297,7
298,7
299,13
300,13
301,7
302,7
303,7
304,7
305,13
306,13
307,7
308,7
309,7
310,7
311,7
312,13
313,13
314,7
315,13
316,13
317,7
318,7
319,7
320,13
321,7
322,13
323,7
324,7
325,7
326,13
327,7
328,7
329,13
330,7
331,7
332,7
333,7
334,13
335,7
336,6
337,7
338,7
339,7
340,13
341,7
342,7
343,14
344,13
345,7
346,7
347,7
348,7
349,13
350,7
351,7
352,13
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,13
362,1
363,13
364,13
365,7
366,7
367,7
368,13
369,7
370,13
371,7
372,13
373,7
374,7
375,13
376,7
377,7
378,13
379,7
380,7
381,7
382,13
383,13
384,7
385,13
386,7
387,7
388,13
389,7
390,7
391,7
392,7
393,13
394,13
395,7
396,7
397,7
398,7
399,7
400,7
401,7
402,3
403,7
404,7
405,7
406,7
407,2
408,13
409,13
410,13
411,13
412,7
413,7
414,7
415,13
416,13
417,7
418,7
419,1
420,13
421,7
422,13
423,7
424,7
425,7
426,7
427,7
428,13
429,13
430,13
431,13
432,7
433,7
434,7
435,7
436,13
437,7
438,13
439,13
440,7
441,7
442,7
443,4
444,13
445,7
446,13
447,7
448,13
449,13
450,7
451,7
452,5
453,13
454,7
455,13
456,11
457,13
458,7
459,7
460,7
461,7
462,7
463,7
464,13
465,7
466,13
467,13
468,7
469,7
470,13
471,13
472,7
473,13
474,7
475,13
476,7
477,7
478,13
479,13
480,7
481,13
482,13
483,7
484,7
485,13
486,7
487,7
488,13
489,7
490,7
491,7
492,13
493,7
494,7
495,7
496,7
497,13
498,7
499,7
500,13
501,13
502,7
503,7
504,7
505,7
506,13
507,7
508,7
509,7
510,7
511,13
512,7
513,13
514,13
515,13
516,13
517,7
518,7
519,7
520,7
521,13
522,13
523,7
524,13
525,7
526,7
527,13
528,7
529,13
530,7
531,7
532,13
533,13
534,7
535,7
536,13
537,7
538,7
539,13
540,13
541,13
542,13
543,7
544,7
545,7
546,13
547,8
548,7
549,7
550,7
551,13
552,7
553,7
554,13
555,7
556,13
557,7
558,7
559,7
560,13
561,13
562,7
563,7
564,7
565,7
566,9
567,7
568,7
569,11
570,7
571,7
572,7
573,7
574,7
575,11
576,13
577,13
578,6
579,13
580,7
581,7
582,7
583,7
584,9
585,7
586,7
587,13
588,7
589,13
590,13
591,13
592,13
593,7
594,13
595,7
596,7
597,13
598,7
599,7
600,13
601,7
602,13
603,7
604,7
605,7
606,7
607,4
608,13
609,7
610,9
611,7
612,7
613,7
614,7
615,7
616,13
617,7
618,7
619,7
620,7
621,7
622,7
623,13
624,7
625,7
626,7
627,7
628,7
629,7
630,13
631,13
632,7
633,7
634,7
635,13
636,7
637,7
638,13
639,7
640,7
641,13
642,7
643,7
644,7
645,7
646,10
647,7
648,7
649,7
650,13
651,7
652,7
653,7
654,13
655,7
656,13
657,7
658,7
659,7
660,13
661,13
662,9
663,7
664,17
665,13
666,7
667,13
668,7
669,7
670,7
671,13
