id,target
0,3
1,16
2,11
3,8
4,13
5,2
6,8
7,13
8,12
9,3
10,8
11,17
12,18
13,10
14,12
15,12
16,16
17,19
18,11
19,8
20,11
21,17
22,11
23,1
24,1
25,5
26,0
27,13
28,10
29,9
30,17
31,19
32,14
33,15
34,17
35,7
36,14
37,6
38,14
39,2
40,2
41,15
42,6
43,13
44,3
45,14
46,17
47,2
48,2
49,17
50,11
51,17
52,12
53,10
54,11
55,2
56,19
57,10
58,1
59,10
60,11
61,3
62,2
63,10
64,6
65,10
66,4
67,17
68,3
69,19
70,0
71,10
72,0
73,17
74,14
75,3
76,12
77,15
78,1
79,15
80,4
81,1
82,10
83,5
84,9
85,19
86,16
87,3
88,3
89,11
90,19
91,16
92,8
93,6
94,8
95,4
96,6
97,3
98,18
99,18
100,3
101,2
102,17
103,10
104,5
105,3
106,2
107,5
108,19
109,9
110,3
111,10
112,2
113,1
114,4
115,11
116,18
117,5
118,8
119,9
120,7
121,12
122,5
123,2
124,19
125,17
126,19
127,11
128,18
129,4
130,13
131,8
132,13
133,3
134,2
135,5
136,12
137,13
138,5
139,11
140,7
141,10
142,0
143,10
144,11
145,14
146,16
147,6
148,9
149,18
150,10
151,16
152,11
153,3
154,8
155,5
156,10
157,11
158,5
159,14
160,14
161,18
162,14
163,6
164,17
165,17
166,15
167,9
168,10
169,4
170,17
171,14
172,2
173,1
174,13
175,10
176,11
177,17
178,7
179,18
180,4
181,13
182,18
183,5
184,7
185,18
186,7
187,4
188,3
189,1
190,1
191,2
192,10
193,19
194,3
195,1
196,6
197,13
198,18
199,3
200,11
201,16
202,6
203,13
204,12
205,6
206,16
207,3
208,2
209,12
210,5
211,18
212,9
213,9
214,18
215,12
216,16
217,12
218,11
219,5
220,3
221,2
222,16
223,5
224,1
225,18
226,15
227,17
228,3
229,10
230,17
231,15
232,6
233,17
234,13
235,3
236,11
237,13
238,15
239,0
240,16
241,7
242,5
243,10
244,8
245,17
246,3
247,6
248,8
249,0
250,8
251,10
252,12
253,16
254,15
255,3
256,2
257,4
258,7
259,10
260,8
261,17
262,17
263,18
264,0
265,4
266,16
267,18
268,3
269,0
270,7
271,11
272,10
273,5
274,6
275,2
276,3
277,18
278,18
279,11
280,13
281,4
282,17
283,6
284,10
285,17
286,13
287,5
288,15
289,5
290,7
291,7
292,8
293,3
294,10
295,5
296,17
297,8
298,9
299,15
300,10
301,18
302,5
303,18
304,0
305,19
306,10
307,16
308,14
309,18
310,16
311,5
312,13
313,15
314,3
315,9
316,13
317,5
318,12
319,0
320,16
321,8
322,10
323,11
324,12
325,19
326,5
327,5
328,5
329,4
330,10
331,10
332,9
333,8
334,10
335,7
336,6
337,8
338,12
339,3
340,9
341,5
342,19
343,14
344,11
345,2
346,16
347,16
348,7
349,11
350,8
351,15
352,1
353,19
354,5
355,4
356,7
357,16
358,17
359,1
360,10
361,1
362,5
363,15
364,11
365,2
366,7
367,14
368,13
369,19
370,10
371,12
372,6
373,17
374,17
375,7
376,10
377,14
378,9
379,2
380,4
381,1
382,13
383,2
384,3
385,18
386,2
387,3
388,17
389,5
390,19
391,3
392,12
393,8
394,15
395,11
396,5
397,18
398,10
399,19
400,2
401,0
402,11
403,19
404,10
405,17
406,11
407,2
408,10
409,18
410,14
411,14
412,9
413,2
414,7
415,18
416,9
417,5
418,17
419,1
420,10
421,15
422,11
423,7
424,17
425,12
426,7
427,9
428,10
429,13
430,19
431,2
432,1
433,2
434,7
435,8
436,9
437,9
438,14
439,15
440,7
441,11
442,11
443,4
444,1
445,15
446,15
447,17
448,11
449,9
450,15
451,7
452,5
453,18
454,11
455,3
456,17
457,2
458,18
459,14
460,0
461,8
462,11
463,1
464,6
465,12
466,9
467,9
468,17
469,7
470,4
471,4
472,17
473,9
474,17
475,11
476,1
477,14
478,12
479,3
480,12
481,4
482,9
483,11
484,19
485,6
486,11
487,19
488,9
489,8
490,10
491,8
492,10
493,15
494,10
495,15
496,2
497,9
498,17
499,14
500,16
501,3
502,6
503,5
504,1
505,15
506,9
507,17
508,2
509,1
510,10
511,18
512,4
513,9
514,1
515,13
516,8
517,2
518,9
519,17
520,14
521,13
522,4
523,16
524,13
525,2
526,5
527,15
528,15
529,9
530,10
531,14
532,12
533,4
534,15
535,5
536,5
537,5
538,1
539,4
540,12
541,18
542,3
543,6
544,5
545,7
546,9
547,16
548,16
549,19
550,7
551,11
552,17
553,13
554,3
555,6
556,15
557,7
558,11
559,14
560,15
561,15
562,11
563,15
564,14
565,5
566,9
567,10
568,8
569,17
570,17
571,6
572,6
573,18
574,16
575,11
576,8
577,13
578,6
579,17
580,15
581,1
582,12
583,11
584,14
585,1
586,12
587,4
588,1
589,9
590,19
591,10
592,3
593,5
594,9
595,11
596,7
597,16
598,5
599,18
600,11
601,4
602,6
603,14
604,12
605,11
606,2
607,6
608,8
609,1
610,9
611,6
612,17
613,18
614,14
615,7
616,11
617,16
618,1
619,5
620,19
621,11
622,11
623,11
624,6
625,12
626,19
627,10
628,3
629,8
630,14
631,18
632,5
633,2
634,8
635,12
636,9
637,16
638,14
639,11
640,7
641,14
642,19
643,5
644,1
645,19
646,10
647,10
648,8
649,1
650,3
651,0
652,2
653,5
654,10
655,2
656,1
657,7
658,5
659,5
660,14
661,4
662,9
663,9
664,17
665,4
666,16
667,11
668,10
669,11
670,17
671,6
672,16
673,11
674,17
675,16
676,11
677,9
678,9
679,6
680,2
681,17
682,4
683,14
684,16
685,7
686,18
687,11
688,0
689,9
690,17
691,18
692,13
693,0
694,9
695,9
696,16
697,9
698,1
699,1
700,16
701,6
702,13
703,9
704,18
705,19
706,17
707,6
708,9
709,12
710,6
711,6
712,11
713,3
714,11
715,7
716,5
717,9
718,7
719,12
720,0
721,10
722,11
723,6
